IATA,ICAO,Name,
"SNJ","MUSJ","San Juli?!n Air Base",
"SNK","KSNK","Winston Field Airport",
"SNL","KSNL","Shawnee Regional Airport",
"SNM","SLSM","San Ignacio de Moxos Airport",
"SNN","EINN","Shannon Airport",
"SNO","VTUI","Sakon Nakhon Airport",
"SNP","PASN","St. Paul Island Airport",
"SNR","LFRZ","Saint-Nazaire Montoir Airport",
"SNS","KSNS","Salinas Municipal Airport",
"SNT","SKRU","Las Cruces Airport |Las Cruces Airport",
"SNU","MUSC","Abel Santamar??a Airport",
"SNV","SVSE","Santa Elena de Uair??n Airport",
"SNW","VYTD","Thandwe Airport",
"SNX","OIIS","Semnan Municipal Airport",
"SNY","KSNY","Sidney Municipal Airport , ""Sidney, Nebraska|Sidney",
"SNZ","SBSC","Santa Cruz Air Force Base",
"SOB","LHSM","H??v??z??""Balaton Airport",
"SOC","WARQ","Adisumarmo International Airport",
"SOD","SDCO","Sorocaba Airport|Bertram Luiz Leupolz??""Sorocaba Airport",
"SOE","FCOS","Souank?? Airport",
"SOF","LBSF","Sofia Airport",
"SOG","ENSG","Sogndal Airport, Hauk??sen",
"SOJ","ENSR","S??rkjosen Airport",
"SOK","FXSM","Semonkong Airport",
"SOM","SVST","San Tom?? Airport",
"SON","NVSS","Santo-Pekoa International Airport",
"SOO","ESNY","S??derhamn Airport",
"SOP","KSOP","Moore County Airport |Moore County Airport",
"SOT","EFSO","Sodankyl?? Airfield",
"SOU","EGHI","Southampton Airport",
"SOV","PASO","Seldovia Airport",
"SOW","KSOW","Show Low Regional Airport",
"SOX","SKSO","Alberto Lleras Camargo Airport",
"SOY","EGER","Stronsay Airport",
"SOZ","LFKS","Solenzara Air Base",
"SPA","KSPA","Spartanburg Downtown Memorial Airport",
"SPC","GCLA","La Palma Airport",
"SPD","VGSD","Saidpur Airport",
"SPE","WBKO","Sepulot Airport",
"SPF","KSPF","Black Hills Airport",
"SPG","KSPG","Albert Whitted Airport",
"SPH","AYQO","Sopu Airport",
"SPI","KSPI","Abraham Lincoln Capital Airport",
"SPJ","LGSP","Sparti Airport",
"SPM","ETAD","Spangdahlem Air Base",
"SPN","PGSN","Saipan International Airport",
"SPP","FNME","Menongue Airport",
"SPS","KSPS","Sheppard Air Force Base"" / ""Wichita Falls Municipal Airport",
"SPU","LDSP","Split Airport",
"SPW","KSPW","Spencer Municipal Airport",
"SPY","DISP","San P??dro Airport",
"SPZ","KASG","Springdale Municipal Airport",
"SQA","KIZA","Santa Ynez Airport",
"SQC","YSCR","Southern Cross Airport |Southern Cross Airport",
"SQD","ZSSR","Shangrao Sanqingshan Airport",
"SQG","WIOS","Sintang Airport",
"SQH","VVNS","N?  S???n Airport",
"SQI","KSQI","Whiteside County Airport",
"SQM","SWUA","S??o Miguel do Araguaia Airport",
"SQN","WAPN","Sanana Airport",
"SQO","ESUD","Storuman Airport",
"SQQ","EYSA","? iauliai International Airport",
"SQR","WAWS","Soroako Airport",
"SQU","SPOA","Saposoa Airport",
"SQW","EKSV","Skive Airport",
"SQX","SSOE","S??o Miguel do Oeste Airport|H??lio Wasum Airport",
"SQY","SSRU","S??o Louren??o do Sul Airport",
"SQZ","EGXP","RAF Scampton",
"SRA","SSZR","Santa Rosa Airport |Santa Rosa Airport",
"SRB","SLSR","Santa Rosa Airport |Santa Rosa Airport",
"SRC","KSRC","Searcy Municipal Airport",
"SRD","SLRA","San Ram??n Airport",
"SRE","SLSU","Juana Azurduy de Padilla International Airport",
"SRG","WARS","Achmad Yani International Airport",
"SRH","FTTA","Sarh Airport",
"SRI","WALS","Temindung Airport",
"SRJ","SLSB","Capit?!n Germ?!n Quiroga Guardia Airport",
"SRN","YSRN","Strahan Airport",
"SRP","ENSA","Stord Airport, S??rstokken",
"SRQ","KSRQ","Sarasota??""Bradenton International Airport",
"SRW","KRUQ","Rowan County Airport",
"SRX","HLGD","Ghardabiya Air Base|Gardabya Airport",
"SRY","OINZ","Dasht-e Naz Airport",
"SRZ","SLET","El Trompillo Airport",
"SSA","SBSV","Deputado Lu??s Eduardo Magalh??es International Airport",
"SSC","KSSC","Shaw Air Force Base",
"SSE","VASL","Solapur Airport",
"SSF","KSSF","Stinson Municipal Airport",
"SSG","FGSL","Malabo International Airport",
"SSH","HESH","Sharm el-Sheikh International Airport",
"SSI","KSSI","Malcolm McKinnon Airport",
"SSJ","ENST","Sandnessj??en Airport, Stokka",
"SSL","SKSL","Santa Rosal??a Airport",
"SSN","RKSM","Seoul Air Base",
"SSO","SNLO","S??o Louren??o Airport",
"SSR","NVSH","Sara Airport",
"SST","SAZL","Santa Teresita Airport",
"SSY","FNBC","Mbanza Congo Airport",
"SSZ","SBST","Santos Air Force Base",
"STA","EKVJ","Stauning Vestjylland Airport",
"STB","SVSZ","Miguel Urdaneta Fern?!ndez Airport",
"STC","KSTC","St. Cloud Regional Airport",
"STD","SVSO","Mayor Buenaventura Vivas Airport",
"STE","KSTE","Stevens Point Municipal Airport",
"STF","YSTI","Stephens Island Airport",
"STG","PAPB","St. George Airport , ""St. George, Alaska|St. George",
"STH","YSMR","Strathmore Airport",
"STI","MDST","Cibao International Airport",
"STJ","KSTJ","Rosecrans Memorial Airport",
"STK","KSTK","Sterling Municipal Airport",
"STL","KSTL","Lambert??""St. Louis International Airport",
"STM","SBSN","Santar??m-Maestro Wilson Fonseca Airport",
"STN","EGSS","London Stansted Airport",
"STO",,"metropolitan area{{ref|6|6}}",
"STP","KSTP","St. Paul Downtown Airport",
"STQ","KOYM","St. Marys Municipal Airport",
"STR","EDDS","Stuttgart Airport",
"STS","KSTS","Charles M. Schulz??""Sonoma County Airport",
"STT","TIST","Cyril E. King Airport",
"STV","VASU","Surat Airport",
"STW","URMT","Stavropol Shpakovskoye Airport",
"STX","TISX","Henry E. Rohlsen Airport",
"STY","SUSO","Nueva Hesperides International Airport|Nueva Hesp??rides International Airport",
"STZ","SWST","Santa Terezinha Airport",
"SUA","KSUA","Witham Field",
"SUB","WARR","Juanda International Airport",
"SUD","KSUD","Stroud Municipal Airport",
"SUE","KSUE","Door County Cherryland Airport",
"SUF","LICA","Lamezia Terme International Airport",
"SUG","RPMS","Surigao Airport",
"SUH","OOSR","Sur Airport",
"SUI","UGSS","Sukhumi Babushara Airport",
"SUJ","LRSM","Satu Mare International Airport",
"SUK","UEBS","Sakkyryr Airport",
"SUL","OPSU","Sui Airport",
"SUM","KSMS","Sumter Airport",
"SUN","KSUN","Friedman Memorial Airport",
"SUQ","SESC","Suc??a Airport",
"SUS","KSUS","Spirit of St. Louis Airport",
"SUT","HTSU","Sumbawanga Airport",
"SUU","KSUU","Travis Air Force Base",
"SUV","NFNA","Nausori International Airport",
"SUW","KSUW","Richard I. Bong Airport",
"SUX","KSUX","Sioux Gateway Airport",
"SUY","UENS","Suntar Airport",
"SVA","PASA","Savoonga Airport",
"SVB","FMNS","Sambava Airport",
"SVC","KSVC","Grant County Airport |Grant County Airport",
"SVD","TVSA","Argyle International Airport",
"SVE","KSVE","Susanville Municipal Airport",
"SVF","DBBS","Sav?? Airport",
"SVG","ENZV","Stavanger Airport, Sola",
"SVH","KSVH","Statesville Regional Airport",
"SVI","SKSV","Eduardo Falla Solano Airport",
"SVJ","ENSH","Svolv??r Airport, Helle",
"SVL","EFSA","Savonlinna Airport",
"SVN","KSVN","Hunter Army Airfield",
"SVO","UUEE","Sheremetyevo International Airport",
"SVP","FNKU","Kuito Airport",
"SVQ","LEZL","Seville Airport",
"SVT","FBSV","Savuti Airport",
"SVU","NFNS","Savusavu Airport",
"SVW","PASV","Sparrevohn LRRS Airport",
"SVX","USSS","Koltsovo Airport|Koltsovo International Airport",
"SVZ","SVSA","Juan Vicente G??mez International Airport",
"SWA","ZGOW","Jieyang Chaoshan International Airport",
"SWC","YSWL","Stawell Airport",
"SWD","PAWD","Seward Airport",
"SWF","KSWF","Stewart International Airport",
"SWH","YSWH","Swan Hill Airport",
"SWJ","NVSX","South West Bay Airport",
"SWL","RPSV","San Vicente Airport",
"SWN","OPSW","Sahiwal Airport",
"SWO","KSWO","Stillwater Regional Airport",
"SWP","FYSM","Swakopmund Airport",
"SWQ","WADS","Sultan Muhammad Kaharuddin III Airport",
"SWS","EGFH","Swansea Airport",
"SWT","UNSS","Strezhevoy Airport",
"SWU","RKSW","Suwon Air Base",
"SWV","UHMW","Severo-Evensk Airport",
"SWW","KSWW","Avenger Field",
"SWX","FBSW","Shakawe Airport",
"SWY","WMBA","Sitiawan Airport",
"SXB","LFST","Strasbourg Airport",
"SXE","YWSL","West Sale Airport",
"SXF","EDDB","Berlin Sch??nefeld Airport",
"SXG","FLSN","Senanga Airport",
"SXI","OIBS","Sirri Island Airport",
"SXJ","ZWSS","Shanshan Airport",
"SXK","WAPI","Saumlaki Airport",
"SXL","EISG","Sligo Airport",
"SXM","TNCM","Princess Juliana International Airport",
"SXN","FBSN","Sua Pan Airport",
"SXO","SWFX","S??o F??lix do Araguaia Airport",
"SXQ","PASX","Soldotna Airport",
"SXR","VISR","Srinagar Airport|Sheikh ul Alam International Airport",
"SXS","WBKH","Sahabat Airport",
"SXT","WMAN","Sungai Tiang Airport",
"SXU","HASD","Soddu Airport",
"SXV","VOSM","Salem Airport |Salem Airport",
"SXX","SNFX","S??o F??lix do Xingu Airport",
"SXZ","LTCL","Siirt Airport",
"SYA","PASY","Eareckson Air Station",
"SYC","SPSY","Shiringayoc Airport",
"SYD","YSSY","Sydney Airport",
"SYE","OYSH","Saadah Airport",
"SYG","VNSB","Syangboche Airport",
"SYI","KSYI","Shelbyville Municipal Airport , ""Shelbyville, Tennessee|Shelbyville",
"SYJ","OIKY","Sirjan Airport",
"SYK","BIST","Stykkish??lmur Airport",
"SYM","ZPSM","Pu'er Simao Airport",
"SYN","KSYN","Stanton Airfield",
"SYO","RJSY","Shonai Airport",
"SYP","MPSA","Ruben Cantu Airport",
"SYQ","MRPV","Tob??as Bola??os International Airport",
"SYR","KSYR","Syracuse Hancock International Airport",
"SYS","UERS","Saskylakh Airport",
"SYT","LFLN","Saint-Yan Airport",
"SYU","YWBS","Warraber Island Airport",
"SYV","KSYV","Sylvester Airport",
"SYW","OPSN","Sehwan Sharif Airport",
"SYX","ZJSY","Sanya Phoenix International Airport",
"SYY","EGPO","Stornoway Airport",
"SYZ","OISS","Shiraz International Airport",
"SZA","FNSO","Soyo Airport",
"SZB","WMSA","Sultan Abdul Aziz Shah Airport",
"SZE","HASM","Semera Airport",
"SZF","LTFH","Samsun-??ar??amba Airport",
"SZG","LOWS","Salzburg Airport",
"SZJ","MUSN","Siguanea Airport",
"SZK","FASZ","Skukuza Airport",
"SZL","KSZL","Whiteman Air Force Base",
"SZN","KSZN","Santa Cruz Island Airport",
"SZP","KSZP","Santa Paula Airport",
"SZR","LBSZ","Stara Zagora Airport",
"SZS","NZRC","Ryan's Creek Aerodrome",
"SZV","ZSSZ","Suzhou Guangfu Airport",
"SZW","EDOP","Parchim International Airport|Schwerin-Parchim International Airport",
"SZX","ZGSZ","Shenzhen Bao'an International Airport",
"SZY","EPSY","Olsztyn-Mazury Regional Airport",
"SZZ","EPSC","""Solidarity"" Szczecin??""Goleni??w Airport",
"TAB","TTCP","Arthur Napoleon Raymond Robinson International Airport",
"TAC","RPVA","Daniel Z. Romualdez Airport",
"TAD","KTAD","Perry Stokes Airport",
"TAE","RKTN","Daegu International Airport",
"TAF","DAOL","Oran Tafraoui Airport|Oran Tafaraoui Airport",
"TAG","RPSP","Bohol??""Panglao International Airport",
"TAH","NVVW","Whitegrass Airport",
"TAI","OYTZ","Taiz International Airport",
"TAK","RJOT","Takamatsu Airport",
"TAL","PATA","Ralph M. Calhoun Memorial Airport",
"TAM","MMTM","General Francisco Javier Mina International Airport",
"TAN","YTGA","Tangalooma Airport",
"TAO","ZSQD","Qingdao Liuting International Airport",
"TAP","MMTP","Tapachula International Airport",
"TAR","LIBG","Taranto-Grottaglie Airport",
"TAS","UTTT","Tashkent International Airport",
"TAT","LZTT","Poprad??""Tatry Airport",
"TAW","SUTB","Tacuaremb?? Airport",
"TAX","WAPT","Taliabu Airport",
"TAY","EETU","Tartu Airport",
"TAZ","UTAT","Da??oguz Airport",
"TBB","VVTH","Dong Tac Airport",
"TBD","SKMB","Timbiqu?? Airport",
"TBF","NGTE","Tabiteuea North Airport",
"TBG","AYTB","Tabubil Airport",
"TBH","RPVU","Tugdan Airport",
"TBI","MYCB","New Bight Airport",
"TBK","YTBR","Timber Creek Airport",
"TBL","YTAB","Tableland Homestead Airport",
"TBM","WAOW","Tumbang Samba Airport",
"TBN","KTBN","Waynesville-St. Robert Regional Airport",
"TBO","HTTB","Tabora Airport",
"TBP","SPME","Cap. FAP Pedro Canga Rodr??guez Airport",
"TBR","KTBR","Statesboro??""Bulloch County Airport",
"TBS","UGTB","Tbilisi International Airport",
"TBT","SBTT","Tabatinga International Airport",
"TBU","NFTF","Fua??amotu International Airport",
"TBW","UUOT","Tambov Donskoye Airport",
"TBY","FBTS","Tshabong Airport",
"TBZ","OITT","Tabriz International Airport",
"TCA","YTNK","Tennant Creek Airport",
"TCB","MYAT","Treasure Cay Airport",
"TCC","KTCC","Tucumcari Municipal Airport",
"TCD","SKRA","Tarapac?! Airport",
"TCE","LRTC","Tulcea Airport|Tulcea Danube Delta Airport",
"TCG","ZWTC","Tacheng Airport",
"TCH","FOOT","Tchibanga Airport",
"TCI",,"metropolitan area{{ref|1|1}}",
"TCL","KTCL","Tuscaloosa Regional Airport",
"TCM","KTCM","McChord Field",
"TCN","MMHC","Tehuac?!n Airport",
"TCO","SKCO","La Florida Airport |La Florida Airport",
"TCP","HETB","Taba International Airport",
"TCQ","SPTN","Coronel FAP Carlos Ciriani Santa Rosa International Airport",
"TCR","VOTK","Tuticorin Airport",
"TCS","KTCS","Truth or Consequences Municipal Airport",
"TCU","FATN","Thaba Nchu Airport",
"TCW","YTOC","Tocumwal Airport",
"TCX","OIMT","Tabas Airport",
"TCY","FYTE","Terrace Bay Airport |Terrace Bay Airport",
"TCZ","ZUTC","Tengchong Tuofeng Airport",
"TDA","SKTD","Trinidad Airport",
"TDD","SLTR","Teniente Jorge Henrich Arauz Airport",
"TDG","RPMW","Tandag Airport",
"TDJ","HDTJ","Tadjoura Airport",
"TDL","SAZT","Tandil Airport",
"TDN","YTHD","Theda Station Airport",
"TDO","KTDO","South Lewis County Airport",
"TDP","SPDR","Trompeteros Airport",
"TDR","YTDR","Theodore Airport",
"TDS","AYSS","Sasereme Airport",
"TDV","FMSN","Samangoky Airport",
"TDW","KTDW","Tradewind Airport",
"TDX","VTBO","Trat Airport",
"TDZ","KTDZ","Toledo Executive Airport",
"TEA","MHTE","Tela Airport",
"TEB","KTEB","Teterboro Airport",
"TEC","SBTL","Tel??maco Borba Airport",
"TED","EKTS","Thisted Airport",
"TEE","DABS","Cheikh Larbi T??bessi Airport",
"TEF","YTEF","Telfer Airport",
"TEG","DFET","Tenkodogo Airport",
"TEI","VETJ","Tezu Airport",
"TEL","WBKE","Telupid Airport",
"TEM","YTEM","Temora Airport",
"TEN","ZUTR","Tongren Fenghuang Airport",
"TEQ","LTBU","Tekirda?? ??orlu Airport",
"TER","LPLA","Lajes Field",
"TES","HHTS","Teseney Airport",
"TET","FQTT","Chingozi Airport",
"TEU","NZMO","Te Anau Airport",
"TEV","LETL","Teruel Airport",
"TEX","KTEX","Telluride Regional Airport",
"TEY","BITE","??ingeyri Airport|Thingeyri Airport",
"TEZ","VETZ","Tezpur Airport",
"TFF","SBTF","Tef?? Airport",
"TFI","AYTU","Tufi Airport",
"TFL","SNTO","Te??filo Otoni Airport",
"TFM","AYTE","Telefomin Airport",
"TFN","GCXO","Tenerife??""North Airport",
"TFR","HE13","Wadi al Jandali Airport",
"TFS","GCTS","Tenerife??""South Airport",
"TGA","WSAT","Tengah Air Base",
"TGC","WBTM","Tanjung Manis Airport",
"TGD","LYPG","Podgorica Airport",
"TGG","WMKN","Sultan Mahmud Airport",
"TGH","NVST","Tongoa Airport",
"TGI","SPGM","Tingo Mar??a Airport",
"TGJ","NWWA","Tiga Airport",
"TGK","URRT","Taganrog Airport",
"TGM","LRTM","T??rgu Mure?? International Airport",
"TGN","YLTV","Latrobe Regional Airport",
"TGO","ZBTL","Tongliao Airport",
"TGP","UNIP","Podkamennaya Tunguska Airport",
"TGQ","SWTS","Tangar?! da Serra Airport",
"TGR","DAUK","Sidi Mahdi Airport",
"TGT","HTTG","Tanga Airport",
"TGU","MHTG","Toncont??n International Airport",
"TGV","LBTG","Targovishte Airport",
"TGZ","MMTG","?ngel Albino Corzo International Airport",
"THA","KTHA","Tullahoma Regional Airport",
"THB","FXTA","Thaba Tseka Airport",
"THC","GLTN","Tchien Airport",
"THD","VVTX","Tho Xuan Airport",
"THE","SBTE","Teresina Airport|Teresina??""Senador Petr??nio Portella Airport",
"THG","YTNG","Thangool Airport",
"THI","GQNC","Tichitt Airport",
"THK","VLTK","Thakhek Airport",
"THL","VYTL","Tachilek Airport",
"THM","KTHM","Thompson Falls Airport",
"THN","ESGT","Trollh??ttan??""V??nersborg Airport",
"THO","BITN","????rsh??fn Airport|Thorshofn Airport",
"THP","KTHP","Hot Springs County??""Thermopolis Municipal Airport",
"THQ","ZLTS","Tianshui Maijishan Airport",
"THR","OIII","Mehrabad International Airport",
"THS","VTPO","Sukhothai Airport",
"THT","GQNT","Tamchakett Airport",
"THU","BGTL","Thule Air Base",
"THV","KTHV","York Airport |York Airport",
"THX","UOTT","Turukhansk Airport",
"THY","FATH","P.R. Mphephu Airport",
"THZ","DRRT","Tahoua Airport",
"TIA","LATI","Tirana International Airport N??n?? Tereza",
"TIB","SKTB","Tib?? Airport",
"TID","DAOB","Abdelhafid Boussouf Bou Chekif Airport",
"TIE","HATP","Tippi Airport",
"TIF","OETF","Ta'if Regional Airport",
"TIH","NTGC","Tikehau Airport",
"TII","OATN","Tarinkot Airport",
"TIJ","MMTJ","Tijuana International Airport",
"TIK","KTIK","Tinker Air Force Base",
"TIM","WABP","Timika Airport|Mozes Kilangin Airport",
"TIN","DAOF","Tindouf Airport",
"TIO","VYHN","Tilin Airport",
"TIP","HLLT","Tripoli International Airport",
"TIQ","PGWT","Tinian International Airport",
"TIR","VOTP","Tirupati Airport",
"TIU","NZTU","Richard Pearse Airport",
"TIV","LYTV","Tivat Airport",
"TIW","KTIW","Tacoma Narrows Airport",
"TIX","KTIX","Space Coast Regional Airport",
"TIY","GQND","Tidjikja Airport",
"TIZ","AYTA","Tari Airport",
"TJA","SLTJ","Capit?!n Oriel Lea Plaza Airport",
"TJB","WIBT","Sei Bati Airport",
"TJG","WAON","Warukin Airport",
"TJH","RJBT","Tajima Airport",
"TJI","MHTJ","Trujillo Airport",
"TJK","LTAW","Tokat Airport",
"TJL","SBTG","Tr??s Lagoas Airport|Pl??nio Alarcom Airport",
"TJM","USTR","Roshchino International Airport",
"TJN","NTKM","Takume Airport",
"TJQ","WIKD","H.A.S. Hanandjoeddin Airport",
"TJS","WAGD","Tanjung Harapan Airport",
"TJU","UTDK","Kulob Airport",
"TJV","VOTJ","Thanjavur Air Force Station",
"TKA","PATK","Talkeetna Airport",
"TKC","FKKC","Tiko Airport",
"TKD","DGTK","Takoradi Airport",
"TKF","KTRK","Truckee Tahoe Airport",
"TKG","WILL","Radin Inten II Airport",
"TKH","VTPI","Takhli Royal Thai Air Force Base",
"TKJ","PFTO","Tok Junction Airport",
"TKK","PTKK","Chuuk International Airport",
"TKN","RJKN","Tokunoshima Airport",
"TKO","FXTK","Tlokoeng Airport",
"TKP","NTGT","Takapoto Airport",
"TKQ","HTKA","Kigoma Airport",
"TKR","VGSG","Thakurgaon STOLport|Thakurgaon Airport",
"TKS","RJOS","Tokushima Airport",
"TKT","VTPT","Tak Airport",
"TKU","EFTU","Turku Airport",
"TKV","NTGO","Tatakoto Airport",
"TKW","AYTN","Tekin Airport",
"TKX","NTKR","Takaroa Airport",
"TKY","YTKY","Turkey Creek Airport",
"TKZ","NZTO","Tokoroa Aerodrome",
"TLA","PATE","Teller Airport",
"TLB","OPTA","Tarbela Dam Airport",
"TLC","MMTO","Toluca International Airport|Licenciado Adolfo L??pez Mateos International Airport",
"TLD","FBTL","Tuli Lodge Airport",
"TLE","FMST","Toliara Airport",
"TLG","AGTI","Tulaghi Heliport",
"TLH","KTLH","Tallahassee International Airport",
"TLI","WAMI","Sultan Bantilan Airport",
"TLJ","PATL","Tatalina LRRS Airport",
"TLK","UECT","Talakan Airport",
"TLL","EETN","Tallinn Airport",
"TLM","DAON","Zenata ??"" Messali El Hadj Airport",
"TLN","LFTH","Toulon??""Hy??res Airport",
"TLQ","ZWTP","Turpan Jiaohe Airport",
"TLR","KTLR","Mefford Field Airport",
"TLS","LFBO","Toulouse??""Blagnac Airport",
"TLU","SKTL","Golfo de Morrosquillo Airport",
"TLV","LLBG","Ben Gurion Airport",
"TLW","AYVL","Talasea Airport",
"TLX","SCTL","Panguilemo Airport",
"TLY","UHWP","Plastun Airport",
"TLZ","SWKT","Catal??o Airport",
"TMA","KTMA","Henry Tift Myers Airport",
"TMB","KTMB","Miami Executive Airport",
"TMC","WADT","Tambolaka Airport",
"TMD","GQNH","Timbedra Airport",
"TME","SKTM","Gabriel Vargas Santos Airport",
"TMF","VRNT","Thimarafushi Airport",
"TMG","WBKM","Tommanggong Airport",
"TMH","WAKT","Tanah Merah Airport",
"TMI","VNTR","Tumlingtar Airport",
"TMJ","UTST","Termez Airport",
"TML","DGLE","Tamale Airport",
"TMM","FMMT","Toamasina Airport",
"TMN","NGTM","Tamana Airport",
"TMO","SVTM","Tumeremo Airport",
"TMP","EFTP","Tampere??""Pirkkala Airport",
"TMQ","DFEM","Tambao Airport",
"TMR","DAAT","Aguenar ??"" Hadj Bey Akhamok Airport",
"TMS","FPST","S??o Tom?? International Airport",
"TMT","SBTB","Porto Trombetas Airport",
"TMU","MRTR","Tambor Airport",
"TMW","YSTW","Tamworth Airport",
"TMX","DAUT","Timimoun Airport",
"TMZ","NZTH","Thames Aerodrome",
"TNA","ZSJN","Jinan Yaoqiang International Airport",
"TNB","WRLH","Tanah Grogot Airport",
"TNC","PATC","Tin City LRRS Airport",
"TND","MUTD","Alberto Delgado Airport",
"TNE","RJFG","New Tanegashima Airport",
"TNF","LFPN","Toussus-le-Noble Airport",
"TNG","GMTT","Tangier Ibn Battouta Airport",
"TNH","ZYTN","Tonghua Sanyuanpu Airport",
"TNI","VIST","Satna Airport",
"TNJ","WIDN","Raja Haji Fisabilillah Airport",
"TNL","UKLT","Ternopil Airport|Ternopil International Airport",
"TNM","SCRM","Teniente R. Marsh Airport",
"TNN","RCNN","Tainan Airport",
"TNO","MRTM","Tamarindo Airport",
"TNP","KTNP","Twentynine Palms Airport",
"TNR","FMMI","Ivato International Airport",
"TNT","KTNT","Dade-Collier Training and Transition Airport",
"TNU","KTNU","Newton Municipal Airport |Newton Municipal Airport",
"TNW","SEJD","Jumandy Airport",
"TNX","VDST","Steung Treng Airport",
"TNZ","ZMTL","Tosontsengel Airport",
"TOA","KTOA","Zamperini Field",
"TOB","HLGN","Tobruk Airport",
"TOC","KTOC","Toccoa Airport"" |Georgia",
"TOD","WMBT","Tioman Airport",
"TOE","DTTZ","Tozeur??""Nefta International Airport",
"TOF","UNTT","Bogashevo Airport",
"TOG","PATG","Togiak Airport",
"TOH","NVSD","Torres Airport",
"TOI","KTOI","Troy Municipal Airport",
"TOJ","LETO","Madrid??""Torrej??n Airport",
"TOL","KTOL","Toledo Express Airport",
"TOM","GATB","Timbuktu Airport",
"TOO","MRSV","San Vito de Java Airport",
"TOP","KTOP","Philip Billard Municipal Airport",
"TOQ","SCBE","Barriles Airport",
"TOR","KTOR","Torrington Municipal Airport",
"TOS","ENTC","Troms?? Airport, Langnes",
"TOT","SMCO","Totness Airstrip",
"TOU","NWWU","Touho Airport",
"TOW","SBTD","Toledo Airport |Paran?!",
"TOX","USTO","Tobolsk Airport",
"TOY","RJNT","Toyama Airport",
"TOZ","DITM","Mahana Airport",
"TPA","KTPA","Tampa International Airport",
"TPC","SETR","Tarapoa Airport",
"TPE","RCTP","Taoyuan International Airport|Taiwan Taoyuan International Airport",
"TPF","KTPF","Peter O. Knight Airport",
"TPG","WMBI","Taiping Airport",
"TPH","KTPH","Tonopah Airport",
"TPI","AYTI","Tapini Airport",
"TPJ","VNTJ","Taplejung Airport",
"TPK","WITA","Teuku Cut Ali Airport",
"TPL","KTPL","Draughon??""Miller Central Texas Regional Airport",
"TPN","SETI","Tiputini Airport",
"TPP","SPST","Cad. FAP Guillermo del Castillo Paredes Airport",
"TPQ","MMEP","Amado Nervo International Airport",
"TPR","YTMP","Tom Price Airport",
"TPS","LICT","Vincenzo Florio Airport Trapani??""Birgi",
"TPU","VNTP","Tikapur Airport",
"TPX","NTTU","Tupai Airport",
"TQD","ORAT","Al-Taqaddum Air Base",
"TQL","USDS","Tarko-Sale Airport",
"TQN","OATQ","Taloqan Airport",
"TQP","YTEE","Trepell Airport",
"TQS","SKTQ","Captain Ernesto Esguerra Cubides Air Base",
"TRA","RORT","Tarama Airport",
"TRB","SKTU","Gonzalo Mej??a Airport",
"TRC","MMTC","Francisco Sarabia International Airport",
"TRD","ENVA","Trondheim Airport, V??rnes",
"TRE","EGPU","Tiree Airport",
"TRF","ENTO","Sandefjord Airport, Torp",
"TRG","NZTG","Tauranga Airport",
"TRI","KTRI","Tri-Cities Regional Airport",
"TRJ","AYTT","Tarakbits Airport",
"TRK","WALR","Juwata International Airport",
"TRL","KTRL","Terrell Municipal Airport",
"TRM","KTRM","Jacqueline Cochran Regional Airport",
"TRN","LIMF","Turin Airport",
"TRO","YTRE","Taree Airport",
"TRQ","SBTK","Tarauac?! Airport|Jos?? Galera dos Santos Airport",
"TRR","VCCT","China Bay Airport",
"TRS","LIPQ","Trieste ??"" Friuli Venezia Giulia Airport",
"TRU","SPRU","FAP Captain Carlos Mart??nez de Pinillos International Airport",
"TRV","VOTV","Trivandrum International Airport",
"TRW","NGTA","Bonriki International Airport",
"TRX","KTRX","Trenton Municipal Airport |Trenton Municipal Airport",
"TRY","HUTO","Tororo Airport",
"TRZ","VOTR","Tiruchirappalli International Airport",
"TSA","RCSS","Taipei Songshan Airport",
"TSB","FYTM","Tsumeb Airport",
"TSC","SETH","Taisha Airport",
"TSE","UACC","Astana International Airport",
"TSF","LIPH","Treviso Airport|Treviso-Sant'Angelo Airport",
"TSH","FZUK","Tshikapa Airport",
"TSJ","RJDT","Tsushima Airport",
"TSL","MMTN","Tamu??n National Airport",
"TSM","KSKX","Taos Regional Airport",
"TSN","ZBTJ","Tianjin Binhai International Airport",
"TSP","KTSP","Tehachapi Municipal Airport",
"TSQ","SBTR","Torres Airport |Torres Airport",
"TSR","LRTR","Timi??oara Traian Vuia International Airport",
"TST","VTST","Trang Airport",
"TSU","NGTS","Tabiteuea South Airport",
"TSV","YBTL","Townsville Airport",
"TSY","WICM","Tasikmalaya Airport",
"TSX","WRLT","Tanjung Santan Airport",
"TSZ","ZMTG","Tsetserleg Airport",
"TTA","GMAT","Tan Tan Airport",
"TTB","LIET","Tortol?? Airport",
"TTC","SCTT","Las Breas Airport",
"TTD","KTTD","Portland??""Troutdale Airport",
"TTE","WAEE","Sultan Babullah Airport",
"TTG","SAST","Tartagal ""General Enrique Mosconi"" Airport",
"TTH","OOTH","RAFO Thumrait",
"TTI","NTTE","Tetiaroa Airport",
"TTJ","RJOR","Tottori Airport",
"TTN","KTTN","Trenton??""Mercer Airport",
"TTO","KBTN","Britton Municipal Airport",
"TTQ","MRBT","Tortuguero Airport",
"TTR","WAWT","Pongtiku Airport",
"TTS","FMNT","Tsaratanana Airport",
"TTT","RCFN","Taitung Airport",
